feeder_name,feeder_slug,state,district,band,avg_supply_hours_per_day,zero_supply_days,fault_hours_per_day,fault_hours_total,os_hours_per_day,os_hours_total,load_shedding_hours_per_day,load_shedding_hours_total,tcn_hours_total_excluded,energy_positive_days,energy_zero_or_negative_days,energy_no_data_days
TALAMIZ,KN-JOG-TAL,Kano,Kano East,D,1.74,12,20.55,636.98,0.0,0.0,20.3,629.36,0.02,27,2,2
TAMBURAWA WATER PLANT,KN-TAM-TAM,Kano,Kano West,A,19.26,2,0.0,0.0,0.0,0.0,0.0,0,0,24,2,5
TARAUNI,KN-FAR-TAR,Kano,Kano East,B,5.94,4,11.89,368.46,0.0,0.0,11.99,371.61,2.11,29,0,2
TIGA,KN-LAW-TIG,Kano,Kano West,C,0.0,31,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31
TOKARAWA,KN-JOG-TOK,Kano,Kano East,A,18.77,0,3.83,118.69,0.0,0.0,1.22,37.83,5.59,31,0,0
TOWN,KN-KAT-TOW,Kano,Kano East,C,11.03,0,0.0,0.0,0.0,0.0,0.0,0,0,31,0,0
TSAMIYA BABBA,KN-JOG-TSA,Kano,Kano East,D,1.55,14,19.89,616.74,0.0,0.0,21.71,673.13,0,28,2,1
TUDUN MURTALA,KN-SMA-TUD,Kano,Kano Central,D,1.42,16,23.0,713.1,0.0,0.0,19.56,606.37,0.86,21,1,9
TUDUN WADA,KN-BRI-TUD,Kano,Kano Central,D,4.42,4,17.77,550.78,0.0,0.0,17.77,550.78,0,21,1,9
TUKUNTAWA,KN-BAT-TUK,Kano,Kano Industrial,C,4.77,1,17.79,551.43,0.0,0.0,17.58,545.09,20.15,28,1,2
UNGUWA UKU,KN-ZAR-UNG,Kano,Kano East,C,0.0,31,0.0,0.0,0.0,0.0,24.0,744.0,0,29,0,2
WUDIL COMMERCIAL,KN-WUD-WUD,Kano,Kano South,A,21.23,1,0.46,14.21,0.0,0.0,0.0,0,14.21,26,0,5
YANKABA,KN-KAW-YAN,Kano,Kano East,B,5.32,2,18.85,584.37,0.22,6.75,16.9,523.98,1.05,31,0,0
YANLEMO,KN-NAI-YAN,Kano,Kano East,B,4.97,3,17.75,550.29,0.0,0.0,18.56,575.43,0.05,26,0,5
YUSUF ROAD,KN-BRI-YUS,Kano,Kano Central,A,22.35,0,0.88,27.17,0.0,0.0,0.79,24.34,0.0,23,0,8
ZAWACIKI,KN-ABA-ZAW,Kano,Kano East,C,6.61,1,16.06,497.78,0.0,0.0,14.17,439.34,14.39,31,0,0
